,BHK,Car Parking,Description,Facing,Floor,OWNERSHIP,Price
0,4BHKHouse,"4 Covered, 2 Open","3 Side Corner Plot, Brand New with 5 Star Construction Nicely Built-up on Ground Floor on very wide road , Having 4 Spacious Bedrooms with attached Bath Rooms , 1 powder room ,  Separate Drawing/ Dining Room , Master Bedroom and 1 other bedroom with Wooden Flooring , Lobby , Store , Servant Quarter , Modular Kitchen , 4 Reserved Car Parking , Italian Marble Flooring , Rich Specifications , Close to the Vasant Vihar Club and Basant Lok Priya Market , This Builder Floor Situated at one of the top super posh colony of South Delhi Area.",East,,Freehold,₹ 21 Cr
1,4BHKVilla,4 Covered,"4 BHK independent house is available for sale in Anand Lok . 400 sq.yards, good size bedroom , spacious drawing and dining, balcony attached to every room, natural light, modular kitchen , perfect ventilation, 100 % power back up, air conditioned, servant quarter, independent parking for 4 cars , Freehold, Clear title, Perfect location.More such option available.Contact for more details.",,,Freehold,₹ 28 Cr
2,4BHKHouse,,"Located near badarpur metro station, well and newly constructed house, is present in a peaceful society at the main road opposite to toll plaza road having good width, good connectivity, corner house located at the end of the society road, house adjacent to farm house, market 150 metres away, atm in the society itself, 24/7 water and electricity supply, 2 side open, near sector 37 faridabad.",South,Ground out of 2 floors,Power Of Attorney,₹ 1.05 Cr
3,4BHKHouse,2 Open,"Stunning and splendidly appointed 4BHK Residential House located in a beautiful gated colony of 30 row houses in Sultanpur, New Delhi is up for resale. Property SpecificationsThis freehold property is approved under Municipal Corporation of Delhi and is well maintained in pristine condition. Perfect for any family, this abode is ideally positioned to enjoy all seasons, and every detail is carefully selected and masterfully crafted in this beautiful house. The house designed in accordance with vaastu rules and is perfectly spread across 2 well planned floors.All bedrooms of this house are quite roomy and generously furnished with large wardrobes whereas bathrooms are charming and well appointed with western sanitary wears. All the rooms including dining and living room have AC units installed. The ground floor of this abode features hall, dining room, kitchen, store room, bedroom, 2 bathrooms, internal staircase and attractive courtyard at the front and back end. Of the 2 bathrooms, one is common and one is attached to the bedroom. Well accessorized with cabinets, chimney, service platform and sink, the modular layout of this kitchen is quite impressive and charming. The home plan of the first floor features 3 bedrooms, 2 bathrooms, 2 balconies, store/pantry and 2 servant rooms. Both the stunning bathrooms of this floor are en-suite to the bedrooms whereas one bedroom also features an attached store/pantry.  The balconies are also connected to the bedrooms and offer wonderful views of the courtyard and surrounding areas. To assure privacy of the residents, the servant rooms are provided with separate entry and bathroom. Flooring of the ground floor is decorated with rich and classy marble tiles whereas the first floor embraces mosaic tiles give the premise a rich and attractive appeal. FacilitiesThe society offers various necessary and modern facilities like parking for 2 vehicles, adequate water supply and power backup assurance. Security of the society is also maintained round the clock by guards. To solve any maintenance issues with respect to plumbing and electricity, service providers are also easily available in the immediate vicinity.LocalityEasyday S, Big Bazaar and Vasant Square Mall are few shopping destinations accessible within 5km range. The Heritage School and GD Goenka Public School are noted schools accessible within a radius of 5km. Sultanpur metro station is accessible within walking distance of 5 minutes as well as other means of transports are also widely available. Fortis Hospital is only 15min drive away where as banks and ATMs accessible within 1km range includes HDFC Bank ATM, Axis Bank ATM, PNB Bank ATM and SBI ATM.",West,2 out of 2 floors,Freehold,₹ 7 Cr
4,4BHKHouse,2 Covered,"This Residential House is built over 2 floors. The construction has been done keeping in view family needs for space & utility. Great deal, please contact immediately. The type of ownership is Freehold. The location has easy access to, Indian Bank (0 km ), Happy Mantessori School (0 km ), Tagore Market (0 km ) and Moti Nagar Metro Station (1 km ).",West,Ground out of 2 floors,Freehold,₹ 6 Cr
5,4BHKHouse,2 Open,"This is a double storey and well maintained 63 Yards Independent house . Independent House with 3 bedroom and one drawing room , Two Attched bathroom , Two stores , Two balcony and open terrace ,one kitchen , Very peaceful area and security wise area is good . This House is Near by all the facilities and every type of facilities like hospital, Banks , Market , school , Metro , every type of connectivity and many more . 15 Minute distance from Airport and Railway station . 5 minutes distance from 2 Metro Station and a very good and short connectivity between Gurgaon and Noida . 20 minute distan",,Ground out of 2 floors,Freehold,₹ 61 Lac
6,4BHKHouse,1 Open,"Residential House is made upto 1 floors. The place is very airy & spacious making the stay a very memorable one. It can easily be cutomized as per the needs of the people living here. All in all a great deal, please contact immediately for more details. Prime facilities are easily accessible from this place with Hari Hospital (0 km ). Other key neighbourhood are Sanjay Model Public School (1 km ).",East,Ground out of 1 floor,Freehold,₹ 45 Lac
7,4BHKHouse,,"This Residential House is built over 3 floors. The construction has been done keeping in view family needs for space & utility. Great deal, please contact immediately. This spacious Residential House was constructed approx. 5 to 10 years years back. Prime facilities are easily accessible from this place with Parwati Public School (0 km ). Other key neighbourhood are Pradhan Market (0 km ).",North,Ground out of 3 floors,Power Of Attorney,₹ 70 Lac
8,4BHKHouse,1 Open,"3 storeyed house is a great property to invest in, this Residential House is East facing. Home is airy and self sufficient. Neighbourhood is friendly with key facilities located nearby. The type of ownership is Power Of Attorney. Length & breadth dimensions are : 30 X 10 Sq-ft for this Residential House. This spacious Residential House was constructed approx. 10 to 15 years years back. The location has easy access to, Gandhi Nursing Home (0 km ), Bank of Baroda (1 km ), MCD School (2 km ) and Uttam Nagar West Metro Station (3 km ).",East,2 out of 3 floors,Power Of Attorney,₹ 40 Lac
9,4BHKVilla,"2 Covered, 2 Open",3 side corner in d block new friends colony.,North - East,,Freehold,₹ 24 Cr
